ICAO24,Latitude,Longitude,Track,Altitude,Vitesse,Squawk,Radar_Feeder,Type_avion,Registration,Temps_UNIX,Depart,Arrivee,Num_IATA,On_ground,Vertical_Speed,Num_ICAO,Code_ICAO
C067AE,43.6793,-79.6142,14,0,1,2215,F-CYYZ2,BCS3,C-GNGV,1645968420,YYZ,LGA,AC702,1,0,ACA702,ACA
C07973,45.4563,-73.756,255,0,1,1042,F-CYUL4,BCS3,C-GTZU,1645968417,YUL,DEN,AC1073,1,0,ACA1073,ACA
C023C7,31.5692,-138.3604,57,39000,531,0000,F-EST,B789,C-FNOG,1645968421,OGG,YYZ,AC530,0,0,ACA530,ACA
C038AA,35.3647,-145.9995,43,39000,564,2673,F-EST,B789,C-FVLX,1645968413,HNL,YVR,AC518,0,0,ACA518,ACA
C0219C,49.5639,-91.7895,272,34000,358,6221,F-CYXL1,A320,C-FMSX,1645968420,YOW,YYC,AC351,0,-64,ACA351,ACA
C02ECA,58.2072,-21.2268,284,36992,475,0000,F-SAT2,B789,C-FRSR,1645968413,LHR,YYZ,AC855,0,0,ACA855,ACA
C051E6,53.643,-7.0682,295,36000,457,5750,F-EIKY2,A333,C-GFAJ,1645968418,GVA,YUL,AC885,0,0,ACA885,ACA
C010A8,30.5099,-81.2065,180,32000,497,2252,F-KLEE1,B789,C-FGHZ,1645968419,YYZ,MCO,AC1090,0,64,ACA1090,ACA
C06080,45.8232,-82.474,126,31000,564,7112,F-KMBS3,A320,C-GKOD,1645968419,YWG,YYZ,AC260,0,-64,ACA260,ACA
C066F4,44.9286,-67.5196,95,35000,548,2253,F-CYQI1,BCS3,C-GMZR,1645968418,YYZ,YHZ,AC602,0,64,ACA602,ACA
C05D3C,50.2903,-105.1619,266,38000,374,7103,F-CYXE1,CRJ9,C-GJHZ,1645968419,YWG,YVR,AC8539,0,0,JZA539,ACA
C05840,51.3853,-0.8911,299,36000,466,7756,F-EGKK2,A333,C-GHKX,1645968418,LYS,YUL,AC877,0,0,ACA877,ACA
C05EDD,45.4662,-73.7449,357,0,0,6571,F-CYUL4,BCS3,C-GJYA,1645968415,YUL,YYZ,AC403,1,0,ACA403,ACA
C038CA,47.8556,5.9038,315,31450,487,3032,F-LFGA1,B789,C-FVND,1645968420,ZRH,YYZ,AC881,0,704,ACA881,ACA
C05EDB,45.4588,-73.746,177,0,1,1006,F-CYUL4,BCS3,C-GJXY,1645968403,YUL,YEG,AC329,1,0,ACA329,ACA
C058C3,53.6432,4.2766,326,36000,497,2520,F-EHGG3,B788,C-GHPY,1645968419,FRA,YYC,AC849,0,-64,ACA849,ACA
C00B7D,43.2049,-81.0363,62,28300,491,4706,F-CYCK3,E75S,C-FEJC,1645968420,ORD,YYZ,AC7450,0,-3072,JZA7450,ACA
C0175A,51.1951,0.1263,289,32000,487,0642,F-EGTR2,B77W,C-FIVX,1645968418,CDG,YUL,AC871,0,0,ACA871,ACA
